asset_no,title,doc_type,modality,authority_level,source_url,license_note,local_file,split
guide-2020,中国2型糖尿病防治指南（2020年版）,guideline,text,2,https://www.hnysfww.com/data/article/1619222032934605040.pdf,中华医学会糖尿病学分会·中华糖尿病杂志2021;13(4)，期刊排印版转载（湖南药事服务网）,guidelines/t2dm_guideline_2020.pdf,build
guide-2024,中国糖尿病防治指南（2024版）,guideline,text,2,https://www.hnysfww.com/data/article/1735800276657362700.pdf,中华医学会糖尿病学分会·中华糖尿病杂志2025;17(1)，期刊排印版转载（湖南药事服务网）,guidelines/dm_guideline_2024.pdf,build
guide-nutri-2022,中国糖尿病医学营养治疗指南（2022版）,guideline,text,2,https://www.hnysfww.com/data/article/1664407059367528280.pdf,五学会联合·中华糖尿病杂志2022;14(9)，期刊排印版转载,guidelines/dm_nutrition_therapy_2022.pdf,build
guide-pc-2022,国家基层糖尿病防治管理指南（2022）,guideline,text,1,https://www.hnysfww.com/data/article/1647557424677414104.pdf,国家卫健委基层司指导·中华内科杂志2022;61(3)，国家级管理指南,guidelines/primary_care_dm_guide_2022.pdf,build
guide-pc-manual-2022,国家基层糖尿病防治管理手册（2022）,guideline,text,1,https://www.hnysfww.com/data/article/1658193574047096075.pdf,国家基层糖尿病防治管理办公室·中华内科杂志2022;61(7),guidelines/primary_care_dm_manual_2022.pdf,blind
guide-elderly-2024,中国老年糖尿病诊疗指南（2024版）,guideline,text,2,https://www.hnysfww.com/data/article/1708887770197275603.pdf,国家老年医学中心等三机构·中华糖尿病杂志2024;16(2),guidelines/elderly_dm_2024.pdf,build
guide-elderly-2021,中国老年糖尿病诊疗指南（2021年版）,guideline,text,2,https://www.hnysfww.com/data/article/1612462771125575707.pdf,国家老年医学中心等三机构·中华糖尿病杂志2021;13(1),guidelines/elderly_dm_2021.pdf,build
guide-foot-2019-p1,中国糖尿病足防治指南（2019版）第一部分,guideline,text,2,https://www.hnysfww.com/data/article/1560731720094487230.pdf,三学会联合·中华糖尿病杂志2019;11(2),guidelines/diabetic_foot_2019_part1.pdf,blind
guide-foot-2019-p2,中国糖尿病足防治指南（2019版）第二部分,guideline,text,2,https://www.hnysfww.com/data/article/1560731777831482671.pdf,三学会联合·中华糖尿病杂志2019;11(3),guidelines/diabetic_foot_2019_part2.pdf,blind
guide-foot-2024,中国糖尿病足诊治指南（2024）,guideline,text,2,https://www.hnysfww.com/data/article/1732082536099677072.pdf,中国医促会外周血管医学分会等·中国临床医生杂志2024;52(11),guidelines/diabetic_foot_2024.pdf,blind
guide-foot-path-2023,中国糖尿病足诊治临床路径（2023版）,guideline,text,2,https://www.hnysfww.com/data/article/1678146402772954828.pdf,CDS糖尿病足与周围血管病学组·中华内分泌代谢杂志2023;39(2),guidelines/diabetic_foot_pathway_2023.pdf,blind
cp-t2dm-2009,2型糖尿病临床路径（2009年版）,policy,text,1,https://www.yaopinnet.com/tools/linchuanglujing/xy/xy20090969.pdf,卫生部办公厅发布，yaopinnet 镜像（与官方文本一致）,pathways/cp_t2dm_2009.pdf,blind
